id,start_datetime_ist,corridor,zone,junction,event_cause_name,severity_score,requires_road_closure,resolution_hours,hour_ist,hour_sin,hour_cos,day_of_week,dow_sin,dow_cos,month,time_slot,is_peak_hour,is_weekend,is_holiday,latitude,longitude,distance_to_center_km,is_main_corridor,corridor_event_freq,zone_event_freq,junction_event_freq,event_cause_encoded,cause_base_severity,priority_encoded,is_planned,has_description,description_length,hist_closure_rate_cause,hist_closure_rate_corridor,avg_resolution_time_cause,cascade_probability,station_efficiency_score,rainfall_mm
FKID000016,2024-03-08T00:41:15,Bellary Road 2,Unknown,Unknown,others,3.45,0,,0,0.0,1.0,4,-0.4339,-0.901,3,3,0,0,1,13.063425,77.5933,8.492,1,0.0464,0.5787,0.6929,5,2.5,1,0,1,11,0.0862,0.0317,92.72,0.1315,1.0,0.0
FKID000017,2024-03-08T00:48:29,ORR North 1,Unknown,Unknown,others,3.45,0,,0,0.0,1.0,4,-0.4339,-0.901,3,3,0,0,1,13.0254527,77.6417388,6.538,1,0.0337,0.5787,0.6929,5,2.5,1,0,1,62,0.0862,0.08,92.72,0.1315,1.0,0.0
FKID000018,2024-03-08T01:09:29,Non-corridor,Unknown,Unknown,tree_fall,5.0,0,4.889166666666667,1,0.2588,0.9659,4,-0.4339,-0.901,3,3,0,0,1,12.9233517,77.5904883,7.114,0,0.3821,0.5787,0.6929,12,5.0,0,0,1,52,0.3944,0.1211,78.75,0.033,1.0,0.0
FKID000019,2024-01-30T10:19:17,Bellary Road 1,Unknown,Unknown,vehicle_breakdown,3.04,0,,10,0.5,-0.866,1,0.7818,0.6235,1,0,1,0,0,13.0001393,77.5840594,1.943,1,0.0747,0.5787,0.6929,13,2.0,1,0,1,61,0.0429,0.0541,0.98,0.1747,1.0,0.0
FKID000020,2024-03-08T00:55:04,Hosur Road,Unknown,Unknown,vehicle_breakdown,2.76,0,0.45416666666666666,0,0.0,1.0,4,-0.4339,-0.901,3,3,0,0,1,12.9071221,77.6286395,9.571,1,0.0365,0.5787,0.6929,13,2.0,1,0,1,81,0.0429,0.057,0.98,0.0947,1.0,11.08
FKID000021,2024-03-08T01:15:16,Non-corridor,Unknown,Unknown,tree_fall,7.0,1,48.80861111111111,1,0.2588,0.9659,4,-0.4339,-0.901,3,3,0,0,1,12.927375,77.5806883,6.845,0,0.3821,0.5787,0.6929,12,5.0,0,0,0,0,0.3944,0.1211,78.75,0.033,1.0,0.0
FKID000022,2024-01-06T04:05:41,Non-corridor,South Zone 1,28thMainJayanagarJunc,pot_holes,2.5,0,,4,0.866,0.5,5,-0.9749,-0.2225,1,4,0,1,0,12.9169074,77.5950955,7.806,0,0.3821,0.0285,0.0007,6,2.5,0,0,0,0,0.0242,0.1211,172.16,0.09,1.0,0.0
FKID000023,2024-01-30T14:02:47,NULL,Unknown,Unknown,pot_holes,2.88,0,,14,-0.5,-0.866,1,0.7818,0.6235,1,1,0,0,0,12.9667047,77.6615983,7.461,1,0.0024,0.5787,0.6929,6,2.5,0,0,1,1,0.0242,0.0,172.16,0.09,1.0,0.0
FKID000024,2024-03-08T01:25:24,Non-corridor,Unknown,Unknown,water_logging,4.0,0,,1,0.2588,0.9659,4,-0.4339,-0.901,3,3,0,0,1,12.8966387,77.7202071,16.804,0,0.3821,0.5787,0.6929,15,4.0,0,0,1,77,0.0852,0.1211,116.68,0.0,1.0,20.51
FKID000025,2024-03-07T11:39:19,Non-corridor,Unknown,Unknown,tree_fall,7.0,1,14.055277777777778,11,0.2588,-0.9659,3,0.4339,-0.901,3,1,0,0,0,12.9463911,77.597326,4.529,0,0.3821,0.5787,0.6929,12,5.0,0,0,1,2,0.3944,0.1211,78.75,0.033,1.0,41.38
FKID000026,2024-01-30T14:05:04,NULL,Unknown,Unknown,pot_holes,3.45,0,,14,-0.5,-0.866,1,0.7818,0.6235,1,1,0,0,0,12.9856042,77.5977438,0.252,1,0.0024,0.5787,0.6929,6,2.5,1,0,1,12,0.0242,0.0,172.16,0.14,1.0,0.0
FKID000027,2024-01-30T13:42:47,Bannerghata Road,Unknown,Unknown,vehicle_breakdown,2.76,0,,13,-0.2588,-0.9659,1,0.7818,0.6235,1,1,0,0,0,12.9077383,77.6005709,8.839,1,0.0256,0.5787,0.6929,13,2.0,1,0,1,40,0.0429,0.0335,0.98,0.0947,1.0,0.0
FKID000028,2024-01-30T13:55:57,NULL,Unknown,Unknown,pot_holes,2.88,0,0.1511111111111111,13,-0.2588,-0.9659,1,0.7818,0.6235,1,1,0,0,0,12.9635109,77.6642122,7.843,1,0.0024,0.5787,0.6929,6,2.5,0,0,1,1,0.0242,0.0,172.16,0.09,1.0,0.0
FKID000029,2024-01-30T14:01:37,NULL,Unknown,Unknown,pot_holes,2.88,0,,14,-0.5,-0.866,1,0.7818,0.6235,1,1,0,0,0,12.9667073,77.6615616,7.457,1,0.0024,0.5787,0.6929,6,2.5,0,0,1,1,0.0242,0.0,172.16,0.09,1.0,0.0
FKID000030,2024-01-30T14:03:55,Non-corridor,Unknown,Unknown,pot_holes,2.5,0,,14,-0.5,-0.866,1,0.7818,0.6235,1,1,0,0,0,12.9666867,77.6616478,7.467,0,0.3821,0.5787,0.6929,6,2.5,0,0,0,0,0.0242,0.1211,172.16,0.09,1.0,0.0
FKID000031,2024-01-30T13:38:05,Bannerghata Road,Unknown,Unknown,vehicle_breakdown,3.86,1,,13,-0.2588,-0.9659,1,0.7818,0.6235,1,1,0,0,0,12.907814,77.6006561,8.831,1,0.0256,0.5787,0.6929,13,2.0,1,0,1,19,0.0429,0.0335,0.98,0.0947,1.0,0.0
FKID000032,2024-01-30T11:13:18,Bannerghata Road,Unknown,Unknown,vehicle_breakdown,2.76,0,,11,0.2588,-0.9659,1,0.7818,0.6235,1,1,0,0,0,12.8955737,77.5993711,10.184,1,0.0256,0.5787,0.6929,13,2.0,1,0,1,141,0.0429,0.0335,0.98,0.0947,1.0,0.0
FKID000033,2024-03-08T01:36:03,Non-corridor,Unknown,Unknown,tree_fall,5.0,0,48.46138888888889,1,0.2588,0.9659,4,-0.4339,-0.901,3,3,0,0,1,12.92757,77.5832051,6.763,0,0.3821,0.5787,0.6929,12,5.0,0,0,0,0,0.3944,0.1211,78.75,0.033,1.0,21.03
FKID000034,2024-01-30T11:08:15,ORR North 2,Unknown,Unknown,congestion,6.21,0,,11,0.2588,-0.9659,1,0.7818,0.6235,1,1,0,0,0,13.044697,77.5828546,6.561,1,0.0288,0.5787,0.6929,1,4.5,1,0,1,71,0.0441,0.0426,1.24,0.151,1.0,0.0
FKID000035,2024-01-30T14:05:57,NULL,Unknown,Unknown,pot_holes,2.88,0,,14,-0.5,-0.866,1,0.7818,0.6235,1,1,0,0,0,12.9666885,77.6616396,7.466,1,0.0024,0.5787,0.6929,6,2.5,0,0,1,1,0.0242,0.0,172.16,0.09,1.0,0.0
FKID000036,2024-03-08T01:47:50,Magadi Road,Unknown,Unknown,vehicle_breakdown,2.76,0,,1,0.2588,0.9659,4,-0.4339,-0.901,3,3,0,0,1,12.9789228,77.5644032,3.542,1,0.03,0.5787,0.6929,13,2.0,1,0,1,19,0.0429,0.0408,0.98,0.0947,1.0,0.0
FKID000037,2024-01-30T09:22:59,Non-corridor,Unknown,Unknown,accident,6.6,0,,9,0.7071,-0.7071,1,0.7818,0.6235,1,0,1,0,0,12.8636494,77.6725849,16.041,0,0.3821,0.5787,0.6929,0,6.0,0,0,0,0,0.0301,0.1211,0.81,0.2671,1.0,0.0
FKID000038,2024-01-30T20:45:10,Bannerghata Road,Unknown,Unknown,vehicle_breakdown,3.04,0,,20,-0.866,0.5,1,0.7818,0.6235,1,2,1,0,0,12.9219483,77.6002467,7.259,1,0.0256,0.5787,0.6929,13,2.0,1,0,1,52,0.0429,0.0335,0.98,0.1747,1.0,0.0
FKID000039,2024-01-30T14:07:16,NULL,Unknown,Unknown,pot_holes,2.88,0,,14,-0.5,-0.866,1,0.7818,0.6235,1,1,0,0,0,12.9666597,77.661556,7.458,1,0.0024,0.5787,0.6929,6,2.5,0,0,1,7,0.0242,0.0,172.16,0.09,1.0,0.0
FKID000040,2024-01-30T17:01:12,ORR East 1,Unknown,Unknown,construction,8.35,0,,17,-0.9659,-0.2588,1,0.7818,0.6235,1,2,1,0,0,12.946469,77.6986754,12.008,1,0.0299,0.5787,0.6929,2,5.5,1,1,1,29,0.2646,0.0738,119.51,0.2583,1.0,0.0
FKID000041,2024-03-08T01:50:31,Bellary Road 1,Unknown,Unknown,others,4.83,1,1.773611111111111,1,0.2588,0.9659,4,-0.4339,-0.901,3,3,0,0,1,12.9936273,77.5844677,1.445,1,0.0747,0.5787,0.6929,5,2.5,1,0,1,48,0.0862,0.0541,92.72,0.1315,1.0,0.0
FKID000042,2024-01-31T02:08:19,ORR East 1,Unknown,Unknown,vehicle_breakdown,2.76,0,,2,0.5,0.866,2,0.9749,-0.2225,1,4,0,0,0,12.9465079,77.6986339,12.002,1,0.0299,0.5787,0.6929,13,2.0,1,0,1,45,0.0429,0.0738,0.98,0.0947,1.0,0.0
FKID000043,2024-03-07T23:59:50,Non-corridor,Unknown,Unknown,vehicle_breakdown,2.0,0,,23,-0.2588,0.9659,3,0.4339,-0.901,3,3,0,0,0,13.0467058,77.5036495,12.001,0,0.3821,0.5787,0.6929,13,2.0,0,0,0,0,0.0429,0.1211,0.98,0.0447,1.0,0.0
FKID000044,2023-12-28T11:36:26,Non-corridor,West Zone 1,Peenya14thCrossJunc,vehicle_breakdown,2.0,0,,11,0.2588,-0.9659,3,0.4339,-0.901,12,1,0,0,0,13.0166142,77.5054464,10.345,0,0.3821,0.0529,0.0001,13,2.0,0,0,1,66,0.0429,0.1211,0.98,0.0447,1.0,0.0
FKID000045,2024-01-31T02:51:10,Non-corridor,Unknown,Unknown,construction,7.7,1,,2,0.5,0.866,2,0.9749,-0.2225,1,4,0,0,0,13.0085677,77.6131497,3.025,0,0.3821,0.5787,0.6929,2,5.5,0,1,0,0,0.2646,0.1211,119.51,0.1283,1.0,0.0
FKID000046,2024-01-31T01:03:25,Tumkur Road,Unknown,Unknown,vehicle_breakdown,2.76,0,,1,0.2588,0.9659,2,0.9749,-0.2225,1,3,0,0,0,13.0309717,77.5364661,8.087,1,0.0561,0.5787,0.6929,13,2.0,1,0,1,64,0.0429,0.0262,0.98,0.0947,1.0,0.0
FKID000047,2024-03-08T01:57:15,Tumkur Road,Unknown,Unknown,others,3.45,0,2.2255555555555557,1,0.2588,0.9659,4,-0.4339,-0.901,3,3,0,0,1,13.0262806,77.5442344,7.102,1,0.0561,0.5787,0.6929,5,2.5,1,0,1,35,0.0862,0.0262,92.72,0.1315,1.0,0.0
FKID000048,2024-03-08T02:11:41,Bellary Road 1,Unknown,Unknown,tree_fall,6.9,0,30.488611111111112,2,0.5,0.866,4,-0.4339,-0.901,3,4,0,0,1,12.9938639,77.5844374,1.461,1,0.0747,0.5787,0.6929,12,5.0,1,0,0,0,0.3944,0.0541,78.75,0.083,1.0,0.0
FKID000049,2024-01-31T02:57:52,ORR East 1,Unknown,Unknown,vehicle_breakdown,2.76,0,0.9255555555555556,2,0.5,0.866,2,0.9749,-0.2225,1,4,0,0,0,12.9188682,77.6687736,10.943,1,0.0299,0.5787,0.6929,13,2.0,1,0,1,73,0.0429,0.0738,0.98,0.0947,1.0,0.0
FKID000050,2024-01-31T02:16:34,IRR(Thanisandra road),Unknown,Unknown,congestion,6.21,0,,2,0.5,0.866,2,0.9749,-0.2225,1,4,0,0,0,12.9546127,77.6423399,6.186,1,0.0116,0.5787,0.6929,1,4.5,1,0,0,0,0.0441,0.0632,1.24,0.151,1.0,0.0
FKID000051,2024-01-31T02:43:55,Mysore Road,Unknown,Unknown,vehicle_breakdown,2.76,0,,2,0.5,0.866,2,0.9749,-0.2225,1,4,0,0,0,12.936133,77.5187044,10.113,1,0.0909,0.5787,0.6929,13,2.0,1,0,0,0,0.0429,0.1104,0.98,0.0947,1.0,0.0
FKID000052,2024-01-31T02:26:01,ORR East 2,Unknown,Unknown,construction,7.59,0,,2,0.5,0.866,2,0.9749,-0.2225,1,4,0,0,0,12.9694079,77.7006346,11.507,1,0.0229,0.5787,0.6929,2,5.5,1,1,1,123,0.2646,0.016,119.51,0.1783,1.0,0.0
FKID000053,2024-01-31T03:17:40,Bellary Road 1,Unknown,Unknown,vehicle_breakdown,2.76,0,1.1555555555555554,3,0.7071,0.7071,2,0.9749,-0.2225,1,4,0,0,0,12.9849833,77.5883633,0.86,1,0.0747,0.5787,0.6929,13,2.0,1,0,1,107,0.0429,0.0541,0.98,0.0947,1.0,0.0
FKID000054,2024-03-08T02:12:57,West of Chord Road,Unknown,Unknown,vehicle_breakdown,2.76,0,,2,0.5,0.866,4,-0.4339,-0.901,3,4,0,0,1,13.0127301,77.5545135,5.322,1,0.0213,0.5787,0.6929,13,2.0,1,0,0,0,0.0429,0.0632,0.98,0.0947,1.0,0.0
FKID000055,2024-01-31T03:24:56,Non-corridor,Unknown,Unknown,road_conditions,3.0,0,1.021111111111111,3,0.7071,0.7071,2,0.9749,-0.2225,1,4,0,0,0,12.9842019,77.7336286,14.916,0,0.3821,0.5787,0.6929,10,3.0,0,0,0,0,0.1235,0.1211,172.08,0.0881,1.0,0.0
FKID000056,2024-01-31T01:06:33,Non-corridor,Unknown,Unknown,vehicle_breakdown,2.8,1,,1,0.2588,0.9659,2,0.9749,-0.2225,1,3,0,0,0,13.2644465,77.7187627,33.583,0,0.3821,0.5787,0.6929,13,2.0,0,0,1,24,0.0429,0.1211,0.98,0.0447,1.0,0.0
FKID000057,2024-01-31T03:36:02,Non-corridor,Unknown,Unknown,vehicle_breakdown,2.0,0,0.6069444444444444,3,0.7071,0.7071,2,0.9749,-0.2225,1,4,0,0,0,12.9848257,77.7527586,16.987,0,0.3821,0.5787,0.6929,13,2.0,0,0,1,39,0.0429,0.1211,0.98,0.0447,1.0,0.0
FKID000058,2024-03-08T02:21:39,Bellary Road 1,Unknown,Unknown,tree_fall,6.9,0,30.318055555555556,2,0.5,0.866,4,-0.4339,-0.901,3,4,0,0,1,12.9932986,77.5837571,1.495,1,0.0747,0.5787,0.6929,12,5.0,1,0,0,0,0.3944,0.0541,78.75,0.083,1.0,21.07
FKID000059,2024-03-08T02:17:40,Bellary Road 1,Unknown,Unknown,tree_fall,6.9,0,30.385277777777777,2,0.5,0.866,4,-0.4339,-0.901,3,4,0,0,1,12.9937523,77.5842482,1.473,1,0.0747,0.5787,0.6929,12,5.0,1,0,0,0,0.3944,0.0541,78.75,0.083,1.0,0.0
FKID000060,2024-03-08T02:15:19,Bellary Road 1,Unknown,Unknown,tree_fall,6.9,0,30.4275,2,0.5,0.866,4,-0.4339,-0.901,3,4,0,0,1,12.9938868,77.5841876,1.486,1,0.0747,0.5787,0.6929,12,5.0,1,0,0,0,0.3944,0.0541,78.75,0.083,1.0,0.0
FKID000061,2024-01-31T04:35:02,ORR East 1,Unknown,Unknown,vehicle_breakdown,2.76,0,0.17527777777777778,4,0.866,0.5,2,0.9749,-0.2225,1,4,0,0,0,12.9368467,77.6928653,11.891,1,0.0299,0.5787,0.6929,13,2.0,1,0,1,60,0.0429,0.0738,0.98,0.0947,1.0,0.0
FKID000062,2024-03-08T02:23:37,Non-corridor,Unknown,Unknown,tree_fall,7.0,1,368.74666666666667,2,0.5,0.866,4,-0.4339,-0.901,3,4,0,0,1,13.0126766,77.5581246,4.993,0,0.3821,0.5787,0.6929,12,5.0,0,0,0,0,0.3944,0.1211,78.75,0.033,1.0,0.0
FKID000063,2024-01-31T04:42:23,Non-corridor,Unknown,Unknown,vehicle_breakdown,2.0,0,1.3869444444444445,4,0.866,0.5,2,0.9749,-0.2225,1,4,0,0,0,12.9513113,77.4994888,11.189,0,0.3821,0.5787,0.6929,13,2.0,0,0,1,49,0.0429,0.1211,0.98,0.0447,1.0,0.0
FKID000064,2024-01-31T02:51:57,Non-corridor,Unknown,Unknown,vehicle_breakdown,2.0,0,,2,0.5,0.866,2,0.9749,-0.2225,1,4,0,0,0,13.0160964,77.5068555,10.182,0,0.3821,0.5787,0.6929,13,2.0,0,0,1,65,0.0429,0.1211,0.98,0.0447,1.0,0.0
FKID000065,2024-03-08T02:35:54,CBD 1,Unknown,Unknown,pot_holes,3.45,0,,2,0.5,0.866,4,-0.4339,-0.901,3,4,0,0,1,12.9807501,77.6028238,1.022,1,0.0032,0.5787,0.6929,6,2.5,1,0,1,34,0.0242,0.1154,172.16,0.14,1.0,0.0
FKID000066,2024-03-08T02:28:06,Non-corridor,Unknown,Unknown,tree_fall,5.0,0,5.353888888888889,2,0.5,0.866,4,-0.4339,-0.901,3,4,0,0,1,12.9165983,77.583705,7.952,0,0.3821,0.5787,0.6929,12,5.0,0,0,1,80,0.3944,0.1211,78.75,0.033,1.0,0.0
FKID000067,2024-01-31T06:34:36,NULL,Unknown,Unknown,pot_holes,3.45,0,,6,1.0,0.0,2,0.9749,-0.2225,1,4,0,0,0,13.0198619,77.6562235,7.473,1,0.0024,0.5787,0.6929,6,2.5,1,0,1,8,0.0242,0.0,172.16,0.14,1.0,0.0
FKID000068,2024-01-31T06:31:36,ORR North 1,Unknown,Unknown,pot_holes,3.45,0,,6,1.0,0.0,2,0.9749,-0.2225,1,4,0,0,0,13.0191848,77.6555127,7.369,1,0.0337,0.5787,0.6929,6,2.5,1,0,0,0,0.0242,0.08,172.16,0.14,1.0,0.0
FKID000069,2024-01-31T06:03:27,West of Chord Road,Unknown,Unknown,vehicle_breakdown,2.76,0,0.7363888888888889,6,1.0,0.0,2,0.9749,-0.2225,1,4,0,0,0,12.9740913,77.5452252,5.689,1,0.0213,0.5787,0.6929,13,2.0,1,0,1,25,0.0429,0.0632,0.98,0.0947,1.0,0.0
FKID000070,2024-01-31T06:06:02,West of Chord Road,Unknown,Unknown,vehicle_breakdown,2.76,0,0.6966666666666667,6,1.0,0.0,2,0.9749,-0.2225,1,4,0,0,0,12.9740971,77.5449011,5.722,1,0.0213,0.5787,0.6929,13,2.0,1,0,0,0,0.0429,0.0632,0.98,0.0947,1.0,0.0
FKID000071,2024-01-31T06:54:44,Non-corridor,Unknown,Unknown,vehicle_breakdown,2.0,0,0.43583333333333335,6,1.0,0.0,2,0.9749,-0.2225,1,4,0,0,0,12.9688926,77.569795,3.487,0,0.3821,0.5787,0.6929,13,2.0,0,0,1,107,0.0429,0.1211,0.98,0.0447,1.0,0.0
FKID000072,2024-01-31T05:16:07,Magadi Road,Unknown,Unknown,pot_holes,3.45,0,143.9963888888889,5,0.9659,0.2588,2,0.9749,-0.2225,1,4,0,0,0,12.9838737,77.5286068,7.311,1,0.03,0.5787,0.6929,6,2.5,1,0,0,0,0.0242,0.0408,172.16,0.14,1.0,0.0
FKID000073,2024-01-31T04:53:41,Non-corridor,Unknown,Unknown,others,2.5,0,343.4902777777778,4,0.866,0.5,2,0.9749,-0.2225,1,4,0,0,0,12.9595586,77.5162093,9.172,0,0.3821,0.5787,0.6929,5,2.5,0,0,1,18,0.0862,0.1211,92.72,0.0815,1.0,0.0
FKID000074,2024-01-31T04:09:37,Non-corridor,Unknown,Unknown,vehicle_breakdown,2.0,0,,4,0.866,0.5,2,0.9749,-0.2225,1,4,0,0,0,12.9511354,77.5739687,4.657,0,0.3821,0.5787,0.6929,13,2.0,0,0,1,99,0.0429,0.1211,0.98,0.0447,1.0,0.0
FKID000075,2024-01-31T04:41:03,Non-corridor,Unknown,Unknown,vehicle_breakdown,2.0,0,,4,0.866,0.5,2,0.9749,-0.2225,1,4,0,0,0,13.0192138,77.5395595,7.081,0,0.3821,0.5787,0.6929,13,2.0,0,0,1,26,0.0429,0.1211,0.98,0.0447,1.0,0.0
FKID000076,2024-03-08T02:41:51,Non-corridor,Unknown,Unknown,pot_holes,2.5,0,95.90166666666667,2,0.5,0.866,4,-0.4339,-0.901,3,4,0,0,1,12.9161187,77.5856548,7.972,0,0.3821,0.5787,0.6929,6,2.5,0,0,1,74,0.0242,0.1211,172.16,0.09,1.0,0.0
FKID000077,2024-01-31T04:48:30,ORR East 1,Unknown,Unknown,vehicle_breakdown,3.86,1,,4,0.866,0.5,2,0.9749,-0.2225,1,4,0,0,0,12.9284355,77.6811918,11.304,1,0.0299,0.5787,0.6929,13,2.0,1,0,0,0,0.0429,0.0738,0.98,0.0947,1.0,0.0
FKID000078,2024-03-08T00:53:40,Non-corridor,Unknown,Unknown,vehicle_breakdown,2.0,0,,0,0.0,1.0,4,-0.4339,-0.901,3,3,0,0,1,13.0753282,77.4370383,19.819,0,0.3821,0.5787,0.6929,13,2.0,0,0,0,0,0.0429,0.1211,0.98,0.0447,1.0,0.0
FKID000079,2024-03-08T00:53:25,Non-corridor,Unknown,Unknown,vehicle_breakdown,2.0,0,,0,0.0,1.0,4,-0.4339,-0.901,3,3,0,0,1,13.2673624,77.7195893,33.916,0,0.3821,0.5787,0.6929,13,2.0,0,0,1,79,0.0429,0.1211,0.98,0.0447,1.0,0.0
FKID000080,2024-03-08T02:55:26,Non-corridor,Unknown,Unknown,others,2.5,0,0.26472222222222225,2,0.5,0.866,4,-0.4339,-0.901,3,4,0,0,1,12.9449039,77.4949618,11.912,0,0.3821,0.5787,0.6929,5,2.5,0,0,1,45,0.0862,0.1211,92.72,0.0815,1.0,0.0
FKID000081,2024-03-08T02:47:00,Non-corridor,Unknown,Unknown,tree_fall,5.0,0,1.9469444444444444,2,0.5,0.866,4,-0.4339,-0.901,3,4,0,0,1,12.9873133,77.6163481,2.205,0,0.3821,0.5787,0.6929,12,5.0,0,0,1,80,0.3944,0.1211,78.75,0.033,1.0,0.0
FKID000082,2024-03-08T02:53:16,ORR East 2,Unknown,Unknown,construction,7.59,0,,2,0.5,0.866,4,-0.4339,-0.901,3,4,0,0,1,12.969418,77.7006526,11.509,1,0.0229,0.5787,0.6929,2,5.5,1,1,1,138,0.2646,0.016,119.51,0.1783,1.0,0.0
